Species,SRR7162297,SRR7162298,SRR7162299,SRR7162301,SRR7162302,SRR7162303,SRR7162304,SRR7162305,SRR7162306,SRR7162307,SRR7162308,SRR7162309,SRR7162311,SRR7162315,SRR7162316,SRR7162318,SRR7162320,SRR7162321,SRR7162322,SRR7162323,SRR7162325,SRR7162326,SRR7162331,SRR7162332,SRR7162334,SRR7162335,SRR7162336,SRR7162339,SRR7162340,SRR7162343,SRR7162344,SRR7162345,SRR7162346,SRR7162347,SRR7162349,SRR7162351,SRR7162352,SRR7162353,SRR7162355,SRR7162356,SRR7162358,SRR7162359,SRR7162361,SRR7162362,SRR7162363,SRR7162365,SRR7162366,SRR7162370,SRR7162372,SRR7162374,SRR7162377,SRR7162378,SRR7162379,SRR7162380,SRR7162382,SRR7162383,SRR7162386,SRR7162387,SRR7162388,SRR7162389,SRR7162393,SRR7162396,SRR7162398,SRR7162399,SRR7162400,SRR7162401,SRR7162402,SRR7162403,SRR7162404,SRR7162405,SRR7162407,SRR7162408,SRR7162410,SRR7162411,SRR7162413,SRR7162414,SRR7162415,SRR7162416,SRR7162418,SRR7162421,SRR7162422,SRR7162423,SRR7162424,SRR7162425,SRR7162426,SRR7162427,SRR7162428
Bacteroides vulgatus,265296.6502,230241.226,116572.745,11986.94893,13568.30017,289133.8947,226890.3712,164869.827,46328.74263,49530.48287,202127.3497,0,323302.934,249892.2821,186417.6049,132283.8414,79117.81188,54581.41164,62631.4487,248104.8184,80.141556,80780.25596,254856.3394,101448.5254,301664.403,336622.0851,89203.05517,195451.5734,326165.5062,26911.70971,36217.15248,46706.38139,535877.864,5983.7964,275299.5759,79540.3828,281503.2897,195839.2396,209735.3335,215700.7942,80788.3401,38398.12738,470487.4349,343401.5822,232893.9414,314739.3238,172928.7719,336292.1171,59486.27162,5281.45481,26577.8687,55977.50553,102042.968,254319.4966,192873.6555,132266.087,7340.418446,147436.2844,87165.67547,71420.96323,33374.55114,120189.5049,283886.5013,226484.5036,236512.7513,172901.43,252859.4045,73543.7723,335589.1155,397860.718,153906.9284,0,192150.2203,26520.0128,199675.7387,140710.5444,506800.9963,82561.19724,301949.7994,91487.20922,156412.9027,39366.0241,191445.1851,80080.38418,238137.4059,105858.3525,559951.1069
Bartonella clarridgeiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.79337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdellovibrio bacteriovorus,0,0,0,128.0065,270.20322,0,0,0,508.6353,1935.7527,0,0,0,0,0,225.52415,204.26237,0,66.68529,1234.6095,0,354.36048,0,0,0,0,0,0,0,0,568.71576,210.40091,0,0,0,0,0,151.46506,0,0,0,0,0,0,0,97.6467,61.463665,0,0,0,0,0,102.06289,0,0,88.18919,295.45017,0,0,1163.15103,0,380.0974,485.97052,0,148.23476,165.81474,118.6361,269.05252,0,0,0,0,106.73355,0,0,0,0,0,0,0,104.75812,0,0,0,615.60642,0,0
Beutenbergia cavernae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.46666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595.54551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium adolescentis,0,1457.75555,0,0,5810.84238,2972.73847,0,562.505238,2019.61155,0,897.87901,0,999.27686,0,1757.13807,0,0,2079.25576,0,243.928384,0,1074.56937,2313.221439,0,0,333.10938,1304.607993,88.803505,0,0,45.869644,169.13948,4359.71328,0,2305.53174,0,2428.51559,9744.49294,0,0,3426.80099,0,75.22811,177.98795,2732.51612,971.085837,0,2362.51878,0,0,4549.05488,1640.254879,0,0,0,9327.171461,7818.25357,0,834.138093,652.88847,0,0,0,0,0,1644.05944,0,2255.52414,1339.020952,0,0,0,60.41337,3438.42579,0,0,0,0,0,0,662.524792,630.78504,0,2283.93721,0,0,0
Bifidobacterium animalis,0,0,0,0,0,0,0,0,0,0,155.82068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.31628,0,0,0,0,0,0,0,0,0,0,132.44196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.21283,0,0,0,0,314.7175,0,0,0,0,0,0,0,101.62088,0,0,0,0,0
Bifidobacterium bifidum,0,0,0,0,104.33179,2714.261824,0,200.576606,0,0,132.34436,0,143.35406,0,105.71647,0,0,0,0,0,0,105.719795,0,0,0,0,130.20833,0,0,0,0,120.18105,0,9904.35762,0,0,0,0,0,0,155.04883,0,0,3838.069995,0,85.6622,0,0,0,0,0,0,0,0,0,0,0,0,115.881714,140.26479,0,0,0,0,0,0,0,0,159.651845,0,0,0,0,7010.62373,0,0,0,0,0,0,140.69911,334.27814,0,0,0,0,0
Bifidobacterium dentium,0,1470.387506,0,0,808.435156,711.14322,0,153.223405,801.272476,0,690.60808,465.567335,931.269078,0,568.44742,0,0,1175.636616,0,0,0,597.594375,566.66782,0,0,352.683194,719.920289,349.09404,0,0,0,197.99776,1214.7257,0,1834.388112,0,1174.55245,4164.784981,0,0,3426.476966,0,105.55569,3067.191746,1085.22583,393.100324,0,1771.46816,0,0,1243.44469,575.86977,0,0,0,4043.21937,1439.170106,0,274.687485,214.49869,0,0,0,0,0,906.71871,0,518.848634,430.172495,0,0,679.354798,0,723.32529,0,0,0,0,0,0,603.26214,126.351326,0,1619.95917,0,0,0
Bifidobacterium longum,0,0,0,0,873.448061,10458.63135,0,205.86007,0,0,115.0995,0,132.47896,0,361.550541,0,0,2587.34928,0,488.375564,0,82.63681,0,0,0,0,111.06157,0,0,0,0,154.04071,0,0,3923.6778,0,720.00296,9352.7573,0,0,3431.777354,0,108.112465,156.24104,3695.77436,213.85456,0,2975.265981,0,0,0,2363.72122,1885.826426,165.17437,2359.072415,241.462488,1774.14698,0,119.54583,95.12119,0,0,0,0,0,0,0,0,0,0,0,42555.0197,0,11734.341,1850.258292,193.286192,0,0,0,0,104.53317,2239.803336,0,69.63995,0,0,972.9813
Bordetella avium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.48427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142.17334,0,0,0,0,0,0,0,142.33183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.15717,0,0,0,0,103.51494,0,0,0
Bordetella parapertussis,0,0,0,0,91.774254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordetella pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordetella petrii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.13545,0,0,0,0,0,0,0,94.88336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachybacterium faecium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8731,0,0,0,158.19196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachyspira hyodysenteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachyspira murdochii,0,0,0,0,88.692215,0,101.53525,0,0,0,0,157.25546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.39874,0,0,98.53482,0,0,0,0,0,0,0,0,0,0,0,117.5464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.90734,0,0,0,233.83559,0,0,0,0,0,0,0,0,0,230.46907,0,96.047966,0,0,0,0,0,0,0,0,0,0,0
Brevibacillus brevis,0,0,0,0,0,0,0,0,0,0,115.74487,199.0908,0,0,0,0,0,0,53.600407,0,0,0,0,0,0,0,0,0,112.56057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.177444,0,0,0,0,0,0,0,0,0,0,103.80093,0,0,0,0,0,0,345.35201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.87545,0,0,287.31848,274.09497,0
Brevundimonas subvibrioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.34142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchnera aphidicola,0,0,0,0,144.62315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.069176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.19127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia glumae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia rhizoxinica,0,0,144.81113,0,0,0,0,0,0,862.5471,0,0,0,0,97.336075,0,44.723103,0,1508.1034,159.34937,0,122.63279,0,0,0,0,0,0,0,0,2543.9841,0,0,0,0,0,0,876.54407,0,0,1265.8591,0,3275.795,135.05272,152.48758,0,0,201.48259,252.24105,0,0,0,0,1462.316,0,0,0,0,436.70078,555.7974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.27729,96.53623,0,0,0,223.2107,0,313.21173,0,0,270.05664,0,0
Butyrivibrio proteoclasticus,6867.51549,9741.410006,30497.94617,14398.5403,13930.00272,6657.061081,11109.17176,16112.94006,10875.34422,22955.85769,17911.80479,110953.9269,5729.98796,4841.771124,14841.61299,12419.27372,19419.33022,8103.33117,12475.48721,2911.700499,9392.584804,78570.46736,17094.97467,16236.13823,2636.117254,2691.890759,29739.87733,29400.1747,40237.4308,52487.0154,31983.65468,15399.02073,5774.31845,4511.62909,40540.04213,5959.573609,14229.27686,5218.68531,18427.19826,5908.890152,16488.89672,5488.068526,3909.230816,4358.247727,13139.57343,22358.81438,15304.04685,4892.8767,18406.85458,3164.366687,11011.28076,4723.34926,5810.408511,8676.572693,17697.72728,10588.28651,10420.28714,2648.14697,8080.447452,10513.37919,11524.14569,8445.867516,28895.9748,7443.927482,14790.27892,26809.95387,11088.34098,36032.62583,2707.810032,8426.452206,30288.92357,0,4262.845675,7070.04692,6475.993968,48858.56152,2984.198306,4847.608072,3359.15379,18079.15396,15947.59416,22790.083,6719.180813,16923.79751,24595.76468,22604.89397,7297.555124
Caldanaerobacter subterraneus,0,0,76.67191,0,0,0,0,0,0,0,0,0,0,0,117.131454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.08083,0,0,0,0,0,201.720524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor bescii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.74203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor hydrothermalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor kronotskyensis,0,0,0,0,0,0,168.62442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.72691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor lactoaceticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.110916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldicellulosiruptor obsidiansis,0,0,1252.4019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.31195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.53725,0,3381.277,1131.8248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.632454,0,0
Caldicellulosiruptor saccharolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.84977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.172325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.164883,0,0,156.43279,0,0,0,0,0,87.30825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.23337,0,0
Calditerrivibrio nitroreducens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.40215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter concisus,0,0,0,0,0,0,0,366.07616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.685618,0,0,0,0,0,0,0,0,0,0,0,0,0,136.826142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.366234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter fetus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2748.6116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter hominis,0,0,0,0,74.4251,0,0,0,0,0,0,0,147.06183,0,0,0,0,0,0,0,0,0,0,109.5329,0,0,0,0,0,0,0,0,0,0,0,146.07681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2744,0,0
Candidatus Arthromitus sp. SFB-mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.10834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Arthromitus sp. SFB-rat-Yit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.02335,0,0,0
Candidatus Blochmannia vafer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.29001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Desulforudis audaxviator,0,0,61.485645,331.92136,0,0,124.73634,0,0,0,0,0,0,0,0,94.381134,112.1933,0,80.532455,0,0,162.06079,0,0,0,0,0,0,211.23613,0,220.79587,552.698406,0,0,94.12082,0,0,0,0,0,0,0,0,0,0,0,661.72575,0,0,0,0,0,0,0,0,0,0,0,0,138.28824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.77578,0,0,0,0,0
Candidatus Hamiltonella defensa,73.70422,0,0,0,0,0,0,0,0,0,0,0,0,155.8889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Liberibacter asiaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.076782,0,0,0,0,0,280.05704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nitrospira defluvii,258.7147,0,0,91.91325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.16654,136.37871,0,0,311.10995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.167816,0,923.155,1270.0503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Protochlamydia amoebophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232.29771,0
Candidatus Solibacter usitatus,0,0,0,0,0,0,0,0,0,0,0,0,159.3986,0,144.02127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.07087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.74744,0,0,0,0,0
Capnocytophaga canimorsus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.7745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga ochracea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.89975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.47263,0,73.4299,0,0,0,0,0,0,306.73861,0,0,0,0,0
Carboxydothermus hydrogenoformans,0,0,0,0,331.19662,0,81.512215,0,0,0,0,416.78467,0,0,0,105.95356,417.561854,0,0,0,0,167.3484,195.034355,0,0,0,0,0,0,0,382.89795,0,0,0,0,0,0,0,181.20045,0,364.9349,0,0,0,0,0,308.4264,0,0,0,0,0,0,0,0,0,115.839481,0,0,0,0,0,105.92244,348.25716,0,0,0,0,0,0,381.87704,0,92.90016,0,0,0,0,0,0,0,109.372986,1447.9042,173.37358,224.91997,0,0,0
Carnobacterium sp. 17-4,0,0,0,0,0,0,0,0,0,0,0,90.5626,0,0,0,0,0,0,0,0,239.49597,0,0,0,0,0,0,102.57302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.29044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.06162,0,5611.471948,0,0,0,0,0,0,0,0,0,0,0,0,0,308.82404,0
Caulobacter vibrioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.73083,0
Cellulophaga lytica,0,0,0,0,0,0,0,0,0,177.51346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.974895,161.1183,0,0,0,0,0,0,0,0,0
Cellulosilyticum lentocellum,1151.92696,5367.52183,155.1,934.163855,2644.605476,1206.773899,6695.985909,5017.816049,2561.072931,2828.815237,4425.24262,2198.27548,5984.33537,1123.307236,4163.019695,3022.06174,1012.170906,0,2490.501942,6174.205283,2702.63263,6217.529899,8520.4935,5710.832177,4649.866935,862.478724,4456.990905,4560.478887,8380.06104,7253.739809,4471.040275,2850.155567,1949.29437,1407.43636,7405.201784,2221.30853,10761.47725,165.95143,2101.04898,1326.364562,4609.137367,1645.968629,2505.63696,3887.218019,7541.54881,4209.669352,3380.040895,0,2641.311801,589.329995,3586.760052,2104.09068,814.481904,6685.436033,7649.031555,2847.072237,2335.462758,1162.80253,2545.672069,1903.426938,2876.28565,3128.29758,6527.61741,873.595302,4203.166512,3907.435689,3843.246286,8176.87149,602.849346,6007.96611,1311.318491,0,1061.744956,2839.996284,4465.101291,3719.368894,682.2146378,2930.990528,7522.573365,6711.835174,5788.448505,2411.425618,2399.604939,3350.41022,2737.191116,9291.29268,2957.71342
Cellvibrio japonicus,0,0,0,0,427.85132,0,0,0,0,0,0,0,0,0,0,0,81.82726,0,1543.6278,0,0,0,128.37755,0,197.46951,112.33654,639.7452,0,0,0.38212273,0,92.83648,0,0,0,0,0,0,0,0,0,0,2968.1382,0,0,0,0,0,0,0,0,0,0,1559.0162,0,0,146.23682,0,0,652.6639,0,0,0,0,0,0,0,0,0,209.85709,0,0,202.22063,0,0,0,0,0,0,0,0,338.40854,0,0,254.73817,0,267.1067
Chlamydia trachomatis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobium chlorochromatii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.82485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorobium limicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.00731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexus aggregans,0,0,61.89683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.07443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroherpeton thalassium,0,0,97.68945,0,0,0,0,0,0,0,0,0,0,0,93.20561,0,0,0,0,0,0,221.26087,0,0,0,169.36385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.37349,0,0,0,0,0,0,0,171.214734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.38955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromobacterium violaceum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.315674,0,0,0,0,130.16562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrobacter koseri,0,0,0,482.6903,0,0,0,0,0,0,0,0,0,0,0,0,0,2012.87266,0,0,0,0,0,0,0,0,63.902588,0,0,126.36977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3147.87343,0,0,126.32193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1895.00998,0,289.83957,0,0,0,0,0,0,0,0,0,0,0,0,688.07932
Citrobacter rodentium,0,0,0,545.756675,0,0,0,0,0,0,0,0,0,0,0,0,0,1893.81499,0,0,0,0,0,0,0,0,74.73692,0,0,22.603952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874.2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.81118,0,0,0,0,3941.75769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium acetobutylicum,0,93.83734,0,0,0,0,0,0,0,0,0,0,0,0,112.60341,0,188.98739,0,0,0,0,0,0,103.08856,82.18381,0,0,0,0,0,0,170.00517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.047714,0,0,106.3718,0,0,0,151.620185,0,0,73.79101,0,162.61797,0,359.60312,247.14477,0,0,0,0,0,0,0,0,0,92.93109,0,0,0,0,0,0,0,0,404.0046,0,0,0
